Number,Gender,GivenName,Surname,StreetAddress,City,ZipCode,EmailAddress,TelephoneNumber,Age,Color,Occupation,Company,Vehicle,Domain,BloodType,Kilograms,Centimeters,Birthday
1017,male,Sigtryggur,Hólmsteinsson,Hraunás 62,Hellissandur,360,SigtryggurHolmsteinsson@fleckens.hu,442 9216,61,Blue,Fish cutter,Kiddie City,2008 MG ZS,InstrumentBanking.is,A+,107.3,171,7/17/1958
1018,female,Ilmur,Guðmundsdóttir,Norðurbrún 23,Sauðarkrókur,551,IlmurGudmundsdottir@gustr.com,471 8062,75,Orange,Surgical technologist,Finast,2001 Nissan Chappo,LocalBilliards.is,B+,96.9,163,3/14/1944
1019,male,Róbert,Arnbjarnarson,Kveldúlfsgata 53,Njarðvík,260,RobertArnbjarnarson@jourrapide.com,426 9740,32,Black,Biomedical engineer,Music Boutique,1995 Volvo 460,MartiniMobile.is,A+,67.7,174,4/19/1987
1020,male,Atli,Ægisson,Sorlaskeid 25,Hafnafjörður,220,AtliAEgisson@armyspy.com,454 6702,32,Orange,Crushing grinding and polishing machine operator,Magik Gray,1998 Saturn SC,BustMoves.is,O+,83.3,178,10/25/1986
1021,female,Álfhildur,Marinósdóttir,Hlégerði 97,Hnífsdalur,410,AlfhildurMarinosdottir@superrito.com,478 1622,73,Green,Public affairs specialist,Universal Design Partners,1999 Bugatti EB 18-3 Chiron,GeoGazette.is,O+,56.8,155,5/26/1946
1022,female,Annetta,Björgvinsdóttir,Ægissiða 50,Grenivík,610,AnnettaBjorgvinsdottir@rhyta.com,416 6166,39,Blue,Painting and coating worker,Builders Emporium,2005 Suzuki Swift,GroupPass.is,O+,54.9,163,6/29/1980
1023,female,Sunneva,Bernódusdóttir,Hverafold 75,Reykjavík,111,SunnevaBernodusdottir@gustr.com,426 3601,49,Blue,EMT,John M. Smyth's Homemakers,2004 Renault Modus,ParisBlogger.is,A+,68.4,166,3/24/1970
1024,female,Halla,Böðvarsdóttir,Vogaland 4,Djúpivogur,765,HallaBodvarsdottir@dayrep.com,416 2429,41,Blue,Computer forensic investigator,Franklin Music,2001 Daihatsu U4 B,SimpleValuation.is,O+,95.5,167,12/9/1977
1025,female,Ólína,Alfreðsdóttir,Fitjabraut 7,Keflavík,230,OlinaAlfredsdottir@rhyta.com,452 4431,55,Purple,Range ecologist,Finast,2005 Opel Corsa,GotCounter.is,O+,97.5,172,12/26/1963
1026,female,Silla,Jóakimsdóttir,Borgarholtsbraut 64,Kópavogur,200,SillaJoakimsdottir@rhyta.com,434 3667,28,Purple,Animal care and service worker,H.C. Bohack,1998 Toyota Corolla,MedicationWarning.is,O+,68.4,169,3/31/1991
1027,male,Svanur,Vilbergsson,Drangahrauni 95,Kópavogur,202,SvanurVilbergsson@dayrep.com,449 7428,77,Blue,Ballet master,Balanced Fortune,2007 Dacia Logan,JukeBoxWizard.is,B+,92.7,171,2/21/1942
1028,female,Sæbjörg,Ólafsdóttir,Hafnargata 8,Fáskrúðsfjörður,750,SaebjorgOlafsdottir@armyspy.com,411 7577,66,Black,Recording engineer,JasmineSola,2003 Porsche Boxster,SavingSfile.is,O+,69.1,164,12/22/1952
1029,male,Svanur,Mikaelsson,Dalbraut 11,Króksfjarðarnes,380,SvanurMikaelsson@einrot.com,428 4569,38,Black,Court reporter,Mr. AG's,1992 Honda Integra,CommonWar.is,O+,95.1,175,10/13/1980
1030,male,Eyþór,Gylfason,Borgarholtsbraut 39,Kópavogur,200,EythorGylfason@armyspy.com,427 4960,46,Blue,Motorboat operator,Sav-A-Center,2008 Toyota FJ Cruiser,GunInstructions.is,B+,109.4,182,5/2/1973
1031,female,Hafdís,Valgeirsdóttir,Gardatorg 44,Garðabær,212,HafdisValgeirsdottir@jourrapide.com,436 8775,37,Purple,Career-technical teacher,Dynatronics Accessories,2011 Chevrolet Impala,ABCExam.is,B+,101.8,171,3/13/1982
1032,female,Dagrún,Áskelsdóttir,Borgarholtsbraut 18,Kópavogur,200,DagrunAskelsdottir@cuvox.de,430 6206,73,Purple,Office helper,Food Mart,2009 Volvo XC90,GunMonthly.is,B+,49.1,170,2/28/1946
1033,male,Börkur,Sigtryggsson,Merkigerði 84,Laugarvatn,840,BorkurSigtryggsson@gustr.com,436 4676,56,Black,Set and exhibit designer,Beefsteak Charlie's,1993 Mazda Lantis,EverythingCaps.is,B+,64.8,183,11/3/1962
1034,male,Höskuldur,Pálsson,Fagradalsbraut 60,Egilsstaðir,700,HoskuldurPalsson@gustr.com,417 5950,44,Black,Heating air-conditioning and refrigeration installer,Yesterday's Records,2011 Maserati Quattroporte,PrismBlog.is,A+,99.6,180,6/5/1975
1035,male,Ilona,Írisarson,Klapparstígur 90,Reykjavík,127,IlonaIrisarson@gustr.com,445 4164,29,Blue,Front desk receptionist,Waccamaw Pottery,2001 Honda Model X,ReggaeNightclub.is,A+,92,177,10/7/1989
1036,female,Fanney,Óladóttir,Hamarstígur 60,Siglufjörður,580,FanneyOladottir@gustr.com,482 6622,74,Purple,Job placement officer,Bumper to Bumper Auto Parts,2000 Daihatsu YRV,SpicyMagazines.is,O+,57.2,157,7/9/1945
1037,female,Védís,Úlfarsdóttir,Smiðjustígur 63,Patreksfjörður,450,VedisUlfarsdottir@gustr.com,484 5811,45,Brown,Mechanic,Grodins,2003 TVR Chimaera,Journalville.is,O+,96.6,168,3/20/1974
1038,male,Pálmi,Adolfsson,Austurgata 53,Höfn,780,PalmiAdolfsson@teleworm.us,488 0952,39,Blue,HIV/AIDS nurse,Strategic Profit,1996 BMW 540,BankingAnalytics.is,O+,112.3,185,3/1/1980
1039,male,Snæbjörn,Hauksson,Midhraun 25,Garðabær,210,SnaebjornHauksson@jourrapide.com,474 4876,32,Orange,Gas furnace installer,Steve's Ice Cream,2008 Chevrolet Vivant,PaymentJournal.is,A+,100,178,12/16/1986
1040,female,Magnea,Gunnlaugsdóttir,Þingvallastræti 52,Súðavík,420,MagneaGunnlaugsdottir@dayrep.com,488 3220,28,Brown,State police officer,FlowerTime,2004 BMW 525,YoYoHelp.is,A+,80,168,4/13/1991
1041,male,Júlíus,Jóhannesson,Vesturgata 14,Reykjavík,155,JuliusJohannesson@dayrep.com,470 2244,37,White,Local truck driver,County Market,2002 Ford Mondeo,InteractiveOption.is,A+,63.7,178,5/9/1982
1042,male,Sverrir,Annýjarson,Kirkjutorg 42,Reykjavík,124,SverrirAnnyjarson@armyspy.com,414 7009,71,Blue,Marine electronics technician,Jeans Unlimited,1997 Oldsmobile Alero,JacksonvilleDryCleaner.is,AB+,102.1,179,9/1/1948
1043,male,Jóhannes,Hjartarson,Þórunnarstræti 63,Skagaströnd,545,JohannesHjartarson@einrot.com,472 7340,73,Blue,Orthopedic nurse,National Hardgoods Distributors,1992 Honda NSX,AttorneyRelocation.is,A+,97.4,168,11/14/1945
1044,female,Jarþrúður,Skúladóttir,Grýtubakki 35,Vík,871,JarthrudurSkuladottir@einrot.com,428 1059,61,Blue,Painter,Warner Brothers Studio Store,2000 Saturn SC,FeedbackRankings.is,B+,88.8,165,12/10/1957
1045,female,Sólrún,Guðbrandsdóttir,Eikarlundur 59,Þórshöfn,680,SolrunGudbrandsdottir@dayrep.com,459 3010,32,Purple,Videographer,Plunkett Home Furnishings,2012 Cadillac Escalade,FashionExam.is,O+,66.9,166,1/14/1987
1046,female,Lovísa,Hrafnsdóttir,Hamarstígur 55,Siglufjörður,580,LovisaHrafnsdottir@jourrapide.com,440 6650,69,Purple,Instructional designer,Planet Pizza,1993 Kia Capital,DeveloperBeat.is,O+,80.1,158,3/19/1950
1047,female,Ingveldur,Hjartardóttir,Sigtuni 25,Reykjavík,104,IngveldurHjartardottir@armyspy.com,432 1273,21,White,Cardiovascular technologist,Morrison's Cafeteria,2008 Land Rover Defender,GreenShreveport.is,A+,68.5,167,6/24/1998
1048,male,Gabríel,Sigurmonsson,Tryggvabraut 14,Seyðisfjörður,710,GabrielSigurmonsson@teleworm.us,442 4811,75,Blue,Credit counselor,Pro-Care Garden Maintenance,2012 Volkswagen Golf,ApricotBlog.is,B+,83.5,172,5/11/1944
1049,male,Boði,Gunnþórsson,Hlíðarvegur 63,Kirkjubæjarklaustur,880,BodiGunnthorsson@superrito.com,455 3210,55,Blue,Mail sorter,Cherry & Webb,2004 GMC Savana,GettingTV.is,A+,76.1,185,8/9/1964
1050,male,Andrés,Rafnsson,Eyrarodda 51,Flateyri,425,AndresRafnsson@einrot.com,468 2826,72,Blue,Market research manager,Awthentikz,2000 Kia Avella,FaqExchange.is,O+,77.5,172,9/17/1947
1051,male,Hallgrímur,Sigtryggsson,Fífubarð 4,Eyrabakki,820,HallgrimurSigtryggsson@armyspy.com,426 8088,28,Red,Transmission rebuilder,Star Bright Investment Group,2006 Pontiac SV 6,PoolVendor.is,O-,94,185,5/7/1991
1052,male,Vignir,Jónmundsson,Nordurvegur 77,Hrísey,630,VignirJonmundsson@rhyta.com,470 5794,33,Blue,Electrophysiologist,CSK Auto,2009 Dacia Logan,LiquidOzone.is,A+,89.1,186,8/30/1986
1053,male,Sigmundur,Sigurbjörnsson,Eyrarodda 45,Flateyri,425,SigmundurSigurbjornsson@jourrapide.com,445 8716,40,Black,Video control engineer,Realty Zone,2000 Mitsubishi Verada,NewsOutreach.is,B+,94.6,178,6/30/1979
1054,female,Agnes,Þorvarðardóttir,Birkimelur 9,Selfoss,802,AgnesTHorvardardottir@dayrep.com,438 8359,82,Red,Delivery service truck driver,Kash n' Karry,2000 Saturn L,CellRank.is,O+,49.4,160,5/6/1937
1055,female,Vera,Valdimarsdóttir,Ólafsbraut 20,Reykholt,320,VeraValdimarsdottir@armyspy.com,487 6176,83,Purple,Textile winding twisting and drawing out machine operator,Rich and Happy,1998 Honda Civic,FoodDevelopers.is,O+,83.2,160,4/8/1936
1056,female,Jóna,Óðinsdóttir,Klausturvegi 66,Hvolsföllur,860,JonaOdinsdottir@cuvox.de,434 1237,77,Blue,Stationary engineer,Twin Food Stores,2015 Lincoln MKX,YummyBreads.is,O+,100,169,12/8/1941
1057,female,Þóra,Tryggvadóttir,Ólafsbraut 17,Reykholt,320,THoraTryggvadottir@dayrep.com,412 7119,64,Purple,Computer clerk,Castle Realty,1998 Plymouth Pronto Spyder,AmericasShow.is,B+,54.9,162,7/22/1955
1058,female,Alexandra,Ólafsdóttir,Hafnargata 79,Fáskrúðsfjörður,750,AlexandraOlafsdottir@einrot.com,464 4614,71,Orange,Railcar repairer,Nan Duskin,2006 Kia Sorento,MommyMiles.is,B+,84.3,159,12/17/1947
1059,female,Gunna,Baldursdóttir,Þórunnarstræti 94,Skagaströnd,545,GunnaBaldursdottir@rhyta.com,452 1342,47,Purple,Combined food preparation and serving worker,Packer,2011 Fiat Croma,DiscountToll.is,A+,95.2,171,4/11/1972
1060,female,Eðvaldína,Albertsdóttir,Hvanneyrarbraut 5,Seltjarnarnes,170,EdvaldinaAlbertsdottir@cuvox.de,488 0508,83,Blue,Railroad switch operator,Simply Appraisals,2015 Audi Q5,InfoTack.is,B+,94.7,159,3/1/1936
1061,female,Bjarney,Þorgrímsdóttir,Vesturgata 86,Reykjavík,155,BjarneyTHorgrimsdottir@jourrapide.com,440 8794,77,Orange,Yardmaster,The Jolly Farmer,2005 Hyundai Coupe,PointsEdge.is,B+,107.9,151,4/19/1942
1062,female,Hallbjörg,Angantýsdóttir,Birkimelur 49,Selfoss,802,HallbjorgAngantysdottir@dayrep.com,430 7918,71,Black,Combined food preparation and serving worker,One-Up Realty,2011 Zenvo ST1,PodCrypt.is,A-,58.5,165,10/13/1947
1063,female,Olga,Tryggvadóttir,Gerðuberg 42,Grímsey,611,OlgaTryggvadottir@armyspy.com,456 3907,77,Blue,Animal breeder,Full Color,1995 Maserati Auge,FitBoxer.is,A+,49.5,159,6/17/1942
1064,female,Magnea,Marinósdóttir,Þingvallastræti 21,Súðavík,420,MagneaMarinosdottir@teleworm.us,466 1838,69,Blue,Tax assessor,BASCO,2001 Honda Legend,RecordDebt.is,O+,82.5,163,3/22/1950
1065,female,Páley,Sigtryggsdóttir,Brekkugata 15,Hvammstangi,530,PaleySigtryggsdottir@rhyta.com,439 4877,56,Blue,Motor coach driver,Belle Ladi,2015 Toyota Tacoma,XULive.is,B+,95.5,157,5/3/1963
1066,female,Elísa,Pálmadóttir,Kveldúlfsgata 70,Njarðvík,260,ElisaPalmadottir@rhyta.com,462 0930,59,Green,Soldier,Reliable Garden Management,2011 Peugeot 1007,BinBuilder.is,O+,56.2,170,3/15/1960
1067,female,Eyrún,Tryggvadóttir,Brekkustíg 74,Bakkafjörður,685,EyrunTryggvadottir@jourrapide.com,478 0483,56,Green,Receive-and-deliver clerk,Sunny Real Estate Investments,2008 Skoda Praktik,CharmCourses.is,A+,95.2,160,4/17/1963
1068,male,Bernharð,Unnarsson,Grýtubakki 41,Vík,871,BernhardUnnarsson@cuvox.de,440 1521,28,Blue,Plan examiner,Universo Realtors,2008 Saturn Sky,ReviewAlerts.is,O+,82.2,169,9/13/1991
1069,female,Sigurveig,Bragadóttir,Hafnargata 65,Fáskrúðsfjörður,750,SigurveigBragadottir@jourrapide.com,481 9579,69,Blue,Automotive service technician,Simply Appraisals,2006 SSC Ultimate Aero,SUV101.is,A+,89.6,163,9/19/1950
1070,male,Dagur,Gestsson,Akurbraut 87,Akranes,301,DagurGestsson@dayrep.com,449 6805,67,Blue,Tool filer,Full Color,1999 Mazda RX-01,ScorePreview.is,O-,67.9,166,6/5/1952
1071,male,Eyjólfur,Bachmann,Sorlaskeid 15,Hafnafjörður,220,EyjolfurBachmann@superrito.com,433 7718,52,Blue,Teller,Harmony House,1997 Acura RL,PickSeat.is,B+,111.1,180,7/30/1967
1072,male,Baldvin,Arnfinnsson,Tungata 68,Höfn,781,BaldvinArnfinnsson@jourrapide.com,483 4077,34,White,Soil scientist,Dahlkemper's,2002 Chrysler Concorde,HDLookup.is,B+,99.6,170,5/28/1985
1073,female,Dagrún,Haraldsdóttir,Skólastígur 7,Raufarhöfn,675,DagrunHaraldsdottir@armyspy.com,475 1773,34,Brown,Conservation technician,Buttrey Food & Drug,2007 Chevrolet Epica,MommyLesson.is,A+,85.7,170,7/20/1985
1074,female,Dóra,Baldvinsdóttir,Bjarnarbraut 74,Norðurfjörður,524,DoraBaldvinsdottir@superrito.com,460 1100,37,Green,Rancher,Thorofare,2008 Daewoo Kalos,KidsPlane.is,A+,81.3,154,8/2/1982
1075,male,Skafti,Þorsteinsson,Hlégerði 37,Hnífsdalur,410,SkaftiTHorsteinsson@armyspy.com,450 3852,77,Blue,Horse trainer,Rogersound Labs,2005 Hyundai Tiburon,MobileCircus.is,O+,61.1,177,5/15/1942
1076,female,Sjöfn,Alfreðsdóttir,Borgarholtsbraut 29,Kópavogur,200,SjofnAlfredsdottir@rhyta.com,487 9082,34,Blue,Multiple machine tool setter,Handyman,1992 Nissan Laurel,TherapyCourt.is,O+,85.5,167,9/3/1985
1077,female,Hanna,Grímsdóttir,Þorsteinsgata 64,Neskaupstaður,740,HannaGrimsdottir@superrito.com,416 4495,35,Blue,Groundskeeping worker,A+ Investments,1995 Fiat Uno,BeverageSpace.is,O+,50.7,157,2/11/1984
1078,female,Edda,Árnadóttir,Höfðagata 35,Keflavíkurflugvöllur,235,EddaArnadottir@armyspy.com,448 2814,56,Green,Web designer,Bettendorf's,2000 Isuzu Kai,AnxietyMeter.is,A+,68.2,168,6/21/1963
1079,female,Sigurósk,Ívarsdóttir,Hlíðarvegur 50,Kirkjubæjarklaustur,880,SiguroskIvarsdottir@dayrep.com,448 8353,21,Green,Teletype operator,Sav-A-Center,2012 Ferrari California,CricketTutorial.is,O+,81.3,165,6/7/1998
1080,male,Dagfinnur,Guðlaugsson,Hlégerði 17,Hnífsdalur,410,DagfinnurGudlaugsson@jourrapide.com,412 6914,72,Black,Train dispatcher,Datacorp,1997 Kia Capital,FreshPromos.is,B+,95.2,175,4/3/1947
1081,male,Ólafur,Björgvinsson,Grundargötu 59,Grundarfjörður,350,OlafurBjorgvinsson@superrito.com,481 2244,78,Green,Rooms manager,Magna Gases,1998 Ford F-250,HolyChoices.is,A+,75,178,9/6/1941
1082,male,Trausti,Valsson,Þverbraut 21,Blönduós,541,TraustiValsson@einrot.com,459 3100,71,Blue,Front desk clerk,Judy's,2000 Chevrolet Celta,FraudPod.is,B+,98.7,184,8/19/1948
1083,male,Ómar,Sigursteinsson,Midvangur 20,Egilsstaðir,701,OmarSigursteinsson@armyspy.com,479 5462,20,Green,Pamphlet binding worker,Northern Reflections,1997 Buick Riviera,ToneFinders.is,A-,75.1,165,2/4/1999
1084,female,Sunna,Snorradóttir,Sigtuni 59,Reykjavík,104,SunnaSnorradottir@fleckens.hu,449 8783,76,Purple,Private accountant,Maloley's Finer Foods,2004 Daihatsu Naked,GenericApps.is,O+,63.5,163,3/11/1943
1085,female,Sigurveig,Bjarnadóttir,Akurbraut 60,Akranes,301,SigurveigBjarnadottir@cuvox.de,472 1692,69,Blue,Administrative professional,Gantos,2008 Chrysler Aspen,StationeryDownloads.is,B+,94.9,154,11/18/1949
1086,male,Guðjón,Friðvinsson,Vikurbraut 7,Grindavík,240,GudjonFridvinsson@jourrapide.com,443 4360,80,Blue,Keeper,Galyan's,1996 Ford Probe,BikeCommunication.is,O+,90.3,171,4/1/1939
1087,male,Óli,Sigurbjarnason,Borgarholtsbraut 53,Kópavogur,200,OliSigurbjarnason@armyspy.com,468 9557,52,Blue,Electrical and electronics engineering technician,Security Sporting Goods,2014 Audi A8,MudComplex.is,A+,94.5,184,6/19/1967
1088,female,Agla,Pálmadóttir,Hafnarstræti 21,Suðureyri,430,AglaPalmadottir@rhyta.com,448 3725,80,Blue,Volcanologist,Rolling Thunder,2007 GMC Canyon,OfferSeeking.is,O+,98.3,162,8/4/1939
1089,male,Héðinn,Ketilsson,Drangahrauni 27,Kópavogur,202,HedinnKetilsson@einrot.com,422 3213,45,Red,Physiologist,Camelot Music,1995 Alfa Romeo 155,FutureSponsors.is,AB+,100.9,171,8/3/1974
1090,male,Sigurbjörn,Auðbjörnsson,Sævar 5,Húsavík,640,SigurbjornAudbjornsson@fleckens.hu,442 6646,84,Blue,Loan counselor,Morville,2004 Honda Integra,BasicEditor.is,O+,83.2,180,12/2/1934
1091,female,Lena,Björgvinsdóttir,Eyrarodda 60,Flateyri,425,LenaBjorgvinsdottir@armyspy.com,467 5979,56,Purple,Bookbinder,Big Wheel,2004 Lada 2123,CreditShares.is,O+,78.6,173,11/5/1962
1092,female,Fríða,Þráinsdóttir,Ægissiða 77,Grenivík,610,FridaTHrainsdottir@superrito.com,489 8993,22,Purple,Religious activities and education director,HouseWorks!,2000 Daihatsu Sirion,CosmeticsAlert.is,AB+,56,169,4/6/1997
1093,male,Gestur,Hagalínsson,Austurstraeti 71,Reykjavík,109,GesturHagalinsson@teleworm.us,436 6687,28,Blue,Sports competitor,FamilyMart,2009 Mitsubishi Raider,OpalRoom.is,O-,94.3,174,1/26/1991
1094,male,Jósef,Rögnvaldsson,Hlégerði 46,Hnífsdalur,410,JosefRognvaldsson@jourrapide.com,428 3318,81,Red,Molding coremaking and casting machine operator,Adapt,2008 Ford Crown Victoria,RentalMaids.is,O+,100.9,177,4/22/1938
1095,male,Ari,Bjarkason,Hagatorg 65,Reykjavík,101,AriBjarkason@superrito.com,427 9002,24,Green,Tow truck dispatcher,Desmonds Formal Wear,1994 Pontiac Trans Sport,ClickCrisis.is,O+,109.2,169,2/10/1995
1096,male,Leifur,Hólmgeirsson,Þórunnarstræti 35,Skagaströnd,545,LeifurHolmgeirsson@fleckens.hu,485 8354,84,Blue,Tax collector,ABCO Foods,2005 Nissan Bluebird,VogueGame.is,B+,84.2,180,3/9/1935
1097,female,Elínbjörg,Óladóttir,Byggðavegur 99,Stykkishólmur,340,ElinbjorgOladottir@teleworm.us,420 8656,68,Blue,Licensed practical nurse,Jacobs,1995 Volkswagen Caravelle,RoofRenovations.is,O+,64.5,151,6/25/1951
1098,female,Rakel,Mínervudóttir,Ægissiða 96,Grenivík,610,RakelMinervudottir@superrito.com,473 8502,59,Purple,Business administrator,A. L. Price,2011 Seat Altea,ApprovedNews.is,B+,72.7,169,8/21/1960
1099,male,Einar,Bogason,Smiðjustígur 36,Patreksfjörður,450,EinarBogason@superrito.com,423 5920,32,Red,Environmental technician,Corinthian Designs,2005 Audi RS6,VisitDestination.is,A-,86,188,1/31/1987
1100,male,Snorri,Friðjónsson,Tungata 65,Höfn,781,SnorriFridjonsson@cuvox.de,457 6135,42,Blue,Family services social worker,Boston Sea Party,1995 Toyota Starlet,LocalShrinks.is,A+,114.1,168,5/18/1977
1101,female,Bryndís,Sigþórsdóttir,Laufásgötu 76,Vestmannaeyjar,902,BryndisSigthorsdottir@dayrep.com,418 3324,22,Purple,Steamfitter,Lazysize,2001 Audi A8,DairyMaker.is,B+,71.9,163,3/20/1997
1102,female,Svanhvít,Hauksdóttir,Austvaðsholti 58,Hella,851,SvanhvitHauksdottir@superrito.com,419 8193,23,Orange,Revenue officer,Mr. Good Buys,2005 Mazda Drifter,DeviceShow.is,B+,91.7,170,7/27/1996
1103,female,Lilja,Þorvarðardóttir,Vikurbraut 46,Grindavík,240,LiljaTHorvardardottir@einrot.com,477 7831,47,Blue,Plant operator,Action Auto,1996 Mercedes-Benz C,ConnectionSwap.is,O+,102.5,174,4/2/1972
1104,male,Sævar,Erlendsson,Eyrarlandsvegur 85,Tálknafjörður,460,SaevarErlendsson@teleworm.us,438 1592,30,Blue,Purchasing agent,Standard Food,2003 Chevrolet Astro,DeskDistributor.is,A-,85.2,183,12/25/1988
1105,female,Konny,Óðinsdóttir,Eikarlundur 65,Þórshöfn,680,KonnyOdinsdottir@fleckens.hu,432 5328,53,Purple,Radio operator,Hugh M. Woods,1998 Mazda MX-3,TooPopular.is,O+,96.4,156,1/5/1966
1106,female,Móeiður,Friðleifsdóttir,Brekkugata 49,Hvammstangi,530,MoeidurFridleifsdottir@einrot.com,454 8974,66,Yellow,Electronic prepress technician,Thom McAn Store,2001 Nissan Chappo,DividendsDirect.is,O+,52.6,159,3/7/1953
1107,male,Dagfinnur,Rögnvaldsson,Skólastígur 61,Raufarhöfn,675,DagfinnurRognvaldsson@superrito.com,449 3483,79,Blue,Athletic trainer,Sports Unlimited,1993 Mazda 121,VacationFleet.is,O+,71.1,166,11/28/1939
1108,female,Árný,Ellertsdóttir,Klapparstígur 31,Reykjavík,127,ArnyEllertsdottir@dayrep.com,439 2876,79,Green,Environmental meteorologist,Quest Technology Service,2012 Tata Indigo,DoctorSeries.is,A+,62.3,152,9/15/1940
1109,male,Hjálmar,Óttarsson,Tungata 16,Höfn,781,HjalmarOttarsson@superrito.com,426 1007,61,Blue,College counselor,Mikro Designs,2007 Volkswagen Jetta,KnittingChat.is,A+,64.7,185,3/9/1958
1110,male,Þórir,Arnkelsson,Eyrarlandsvegur 76,Tálknafjörður,460,THorirArnkelsson@rhyta.com,465 1512,54,Blue,Zookeeper,MegaSolutions,2008 Hyundai Grandeur,FlashCartridge.is,B+,89.5,174,8/8/1965
1111,male,Sæmundur,Sölvason,Hlégerði 87,Hnífsdalur,410,SaemundurSolvason@fleckens.hu,450 2856,59,Blue,Mental health aide,Jitney Jungle,1996 Suzuki Swift,DebtAlarm.is,B+,97.2,172,11/29/1959
1112,male,Ragnar,Þórisson,Ægissidu 47,Hallormsstaður,707,RagnarTHorisson@dayrep.com,423 3526,78,Blue,Laboratory animal technologist,Buttrey Food & Drug,1998 Alpina B 10,KnowRentals.is,O+,92.8,183,4/28/1941
1113,male,Karl,Þorvaldsson,Skolavordustig 59,Reykjavík,132,KarlTHorvaldsson@einrot.com,445 4879,66,Green,Show host,Maxaprofit,2001 Daewoo Tacuma,SkateboardingCourses.is,B+,63.4,170,11/18/1952
1114,female,Svanhvít,Valberg,Klapparstígur 63,Reykjavík,127,SvanhvitValberg@einrot.com,421 4741,50,Blue,Fiscal technician,Excella,2010 Daihatsu Charade,MobileResumes.is,O+,66.8,164,1/16/1969
1115,male,Heimir,Erlingsson,Naustavegur 45,Vestmannaeyjar,900,HeimirErlingsson@superrito.com,426 4876,48,Black,Lift truck operator,Al's Auto Parts,1999 Volkswagen Jetta,TotallyCells.is,AB+,88.7,185,10/12/1970
1116,male,Kolbeinn,Smárason,Sunnubraut 35,Búðardalur,371,KolbeinnSmarason@fleckens.hu,446 6752,30,Blue,Human resources trainer,Family Toy,2003 Citroen Berlingo,EncyclopediaLinks.is,O+,62.2,172,7/6/1989
1117,female,Elínbjörg,Níelsdóttir,Akurbraut 26,Akranes,301,ElinbjorgNielsdottir@superrito.com,465 7785,56,Blue,U.S. deputy marshal,Klopfenstein's,1999 BMW 540,ArenaTennis.is,B+,88.3,161,12/10/1962
1118,male,Kalman,Ingimundarson,Adalstraeti 92,Akureyri,602,KalmanIngimundarson@jourrapide.com,464 4943,64,Green,Nail care technician,Crafts Canada,2015 Audi S5,OrganicFlu.is,O+,103,177,1/7/1955
1119,female,Fanndís,Ellertsdóttir,Norðurbraut 92,Reykjavík,112,FanndisEllertsdottir@rhyta.com,417 5041,36,Red,Tax accountant,House Works,1996 Chevrolet Corsica,FrenchToiletries.is,A+,57.8,159,8/3/1983
1120,male,Hjalti,Friðfinnsson,Hafnarbraut 9,Hólmavík,510,HjaltiFridfinnsson@superrito.com,486 5346,42,Blue,Machine offbearer,Fresh Start,1996 Saturn SC,DigitForum.is,A-,81.7,180,2/24/1977
1121,male,Gestur,Ákason,Hagatorg 16,Reykjavík,101,GesturAkason@jourrapide.com,433 0998,54,Green,Legal nurse consultant,KB Toys,2012 Mini Cooper Countryman,ThousandQuestions.is,O+,75.7,177,2/20/1965
1122,female,Ísfold,Hafsteinsdóttir,Djúpivogur 21,Hafnir,233,IsfoldHafsteinsdottir@superrito.com,484 0819,32,Brown,Human resources clerk,Gov Mart,2006 Honda Odyssey,ChatAlerts.is,A+,64.2,162,8/28/1987
1123,female,Gróa,Friðbjarnardóttir,Hvítárbakka 4,Ólafsfjörður,625,GroaFridbjarnardottir@cuvox.de,417 3386,44,Blue,Homeowner association manager,Sportswest,1992 Porsche 911,CellphoneArea.is,O+,67,155,7/17/1975
1124,male,Eiður,Sigurþórsson,Gránugata 86,Selfoss,800,EidurSigurthorsson@fleckens.hu,460 9677,48,Green,Claims investigator,Sunburst Garden Management,2010 Dodge Nitro,AtlasCam.is,O+,99.1,184,9/18/1971
1125,female,Kristína,Sigtryggsdóttir,Sævar 22,Húsavík,640,KristinaSigtryggsdottir@fleckens.hu,479 3678,84,Green,Hunter,Galyan's,2006 Infiniti Q45,ToolBrush.is,O+,94.2,162,4/24/1935
1126,male,Hugi,Hrafnhildarson,Súluvegur 3,Þórshöfn,681,HugiHrafnhildarson@cuvox.de,469 1421,42,Silver,Excavating and loading machine and dragline operator,Awthentikz,2009 Renault Sandero,ForwardDrop.is,O+,90.6,187,4/22/1977
1127,female,Birgitta,Ragnarsdóttir,Hrisateigur 47,Húsavík,641,BirgittaRagnarsdottir@jourrapide.com,468 9362,82,Brown,Inorganic chemist,Museum Company,2011 Alfa Romeo Giulietta,ZoomBulletin.is,A+,51.2,163,11/22/1936
1128,male,Númi,Þorgilsson,Klausturvegur 22,Ísafjörður,401,NumiTHorgilsson@cuvox.de,416 2276,82,Black,Outdoor power equipment mechanic,Larry's Markets,2004 Hyundai Tiburon,RetroFlavor.is,A+,102.1,164,7/28/1937
1129,male,Sæmundur,Hartmannsson,Ólafsbraut 47,Reykholt,320,SaemundurHartmannsson@gustr.com,458 1852,50,Blue,Repairer,Forth & Towne,2009 Jaguar XF,LegendBlog.is,A+,102.9,174,6/16/1969
